  8.000000-10.199700 -9.249570 -5.793240 -4.812290 -0.001900 -0.505930 -0.980569 -1.310740
 10.000000-10.657300 -9.730120 -5.521070 -4.200170  0.317196 -0.432570 -0.998056 -1.278400
 12.000000-11.066600-10.157300 -5.226650 -3.601260  0.596303 -0.352420 -1.009465 -1.173840
 16.000000-11.727500-10.778800 -4.837450 -2.317920  0.923626 -0.307770 -1.023834 -0.872310
 18.000000-11.876300-10.914600 -4.800860 -1.622590  1.035761 -0.378520 -1.021674 -0.697350
 20.000000-11.995400-10.863700 -4.844890 -0.879100  1.173376 -0.507810 -1.022340 -0.528480
 23.000000-12.223300-10.319400 -5.070680  0.314263  1.520563 -0.776740 -1.020008 -0.286420
 25.000000-12.405900 -9.630230 -5.299320  1.177995  1.741061 -0.942140 -1.002174 -0.135740
 -4.000000-13.305900-13.315400-18.075200-16.966800 -1.552720 -2.326380 -0.232169 -0.974120
 -2.000000-14.209200-14.535300-16.715000-16.175100 -1.490720 -1.729930 -0.800579 -1.069680
  0.000000-15.320800-15.467200-15.369900-15.498800 -1.225970 -1.468340 -1.182384 -1.440530
  2.000000-16.729200-16.244000-14.218600-14.555100 -0.820440 -1.157270 -1.533130 -1.756190
  4.000000-18.101700-16.964100-13.297300-13.283700 -0.313780 -0.909980 -1.660448 -2.130120
  6.000000-19.132800-17.629500-12.584100-11.629800  0.535035 -0.539540 -1.758864 -2.423570
  8.000000-20.174100-18.587300-12.030800-10.086400  1.460868 -0.247820 -1.825916 -2.664630
 10.000000-21.175900-19.461700-11.517800 -8.804160  2.127834  0.075854 -1.883697 -2.668920
 12.000000-22.104500-20.223300-10.965000 -7.569880  2.567956  0.428548 -1.909046 -2.458880
 16.000000-23.301600-21.266600-10.241500 -4.940930  3.019726  0.733015 -1.892763 -1.833310
 18.000000-23.246800-21.473000-10.152000 -3.499820  3.066693  0.495515 -1.840544 -1.484190
 20.000000-23.062200-21.322100-10.192600 -1.958190  3.175353  0.063374 -1.773719 -1.136790
 23.000000-23.408000-20.110500-10.563900  0.531099  3.460018 -0.792300 -1.695491 -0.647370
 25.000000-24.060500-18.649500-10.883400  2.335210  3.697687 -1.314630 -1.686724 -0.354640
 -4.000000-18.633800-18.729600-24.356000-22.328600 -2.903040 -3.736360  0.402901 -0.344270
 -2.000000-20.059600-20.607742-22.667700-22.300674 -2.878660 -2.470750 -0.446203 -2.911680
  0.000000-21.963200-22.070500-21.062400-21.645400 -2.682950 -2.989660 -1.718725 -2.468320
