 2.6500    -0.3819121 1.0022627 -0.5122563  -0.0002831 0.0034170 -0.0037877  2.6682311 14439.2441406   0.6634290 1.7701819 -0.5935836  0.4632629 0.1878443 -0.2112484  -0.3955795 -0.8313059   -0.7546786 0.4253222 1.9161275
 2.7000    -0.3811083 0.9855129 -0.4802741  -0.0002417 0.0037248 -0.0005982  2.6700976 14978.3769531   0.6568723 1.7539130 -0.5576430  0.5198145 0.2157149 -0.2379304  -0.4586139 -0.8631166   -0.7609189 0.4209564 1.9585887
 2.7500    -0.3790741 0.9754701 -0.4572731  -0.0001482 0.0030282 0.0000731  2.6805832 15527.1513672   0.6505521 1.7438589 -0.5318121  0.5725111 0.2409558 -0.2607441  -0.5193337 -0.9306032   -0.7867779 0.4476815 2.0149377
 2.8000    -0.3767445 0.9698913 -0.4406966  -0.0000534 0.0020639 -0.0005886  2.6942609 16085.5224609   0.6450754 1.7380013 -0.5132597  0.6239833 0.2646443 -0.2816959  -0.5784011 -1.0141528   -0.8255553 0.4913821 2.0843771
 2.8500    -0.3747188 0.9639933 -0.4281128  0.0000143 0.0012796 -0.0013925  2.7053189 16653.4218750   0.6399268 1.7312061 -0.4993503  0.6754782 0.2876739 -0.3021767  -0.6360801 -1.0959243   -0.8675640 0.5381069 2.1599810
 2.9000    -0.3731673 0.9542355 -0.4181013  0.0000498 0.0007912 -0.0017081  2.7106311 17230.7988281   0.6343575 1.7195092 -0.4885521  0.7269642 0.3103524 -0.3225704  -0.6922563 -1.1670716   -0.9062930 0.5806367 2.2352314
 2.9500    -0.3719805 0.9396939 -0.4101201  0.0000612 0.0005214 -0.0014946  2.7100656 17817.6660156   0.6279542 1.7017970 -0.4802645  0.7778395 0.3325030 -0.3425715  -0.7466947 -1.2276245   -0.9404597 0.6188442 2.3075400
 3.0000    -0.3709666 0.9214829 -0.4039978  0.0000595 0.0003514 -0.0010286  2.7052301 18414.0175781   0.6207521 1.6792774 -0.4742595  0.8275680 0.3537829 -0.3617007  -0.7992821 -1.2823580   -0.9725385 0.6564385 2.3780724
 3.0500    -0.3699832 0.9013916 -0.3995238  0.0000524 0.0002092 -0.0006075  2.6991702 19019.8710938   0.6131795 1.6550758 -0.4702019  0.8753062 0.3739358 -0.3796597  -0.8493970 -1.3354506   -1.0059208 0.6971900 2.4486107
 3.1000    -0.3689761 0.8807709 -0.3963044  0.0000434 0.0000775 -0.0003762  2.6984698 19635.2246094   0.6061547 1.6356902 -0.4674019  0.9178792 0.3928538 -0.3964511  -0.8936750 -1.3856916   -1.0425797 0.7425368 2.5171331
 3.1500    -0.3679544 0.8601436 -0.3938222  0.0000335 -0.0000281 -0.0003176  2.6976327 20260.0546875   0.5991351 1.6162465 -0.4654747  0.9584853 0.4106999 -0.4122257  -0.9357352 -1.4381012   -1.0827173 0.7924363 2.5881165
 3.2000    -0.3669460 0.8394319 -0.3915822  0.0000227 -0.0000897 -0.0003363  2.6964408 20894.3632813   0.5921431 1.5966788 -0.4638425  0.9972667 0.4275917 -0.4271428  -0.9757740 -1.4919216   -1.1255038 0.8455444 2.6604608
 3.2500    -0.3659665 0.8184048 -0.3892339  0.0000118 -0.0001047 -0.0003485  2.6946460 21538.1191406   0.5851502 1.5767726 -0.4620939  1.0342378 0.4436091 -0.4412946  -1.0138730 -1.5465054   -1.1699918 0.9007277 2.7327687
