 2.4500     0.0000000 0.0000000 0.1313810     3.6937211 0.2260847 0.6225842     0.0000000 -919.6494515 -1.4905266   12376.8046875
 2.5000     0.0000000 0.0000000 0.1532920     3.5580332 0.2272354 0.5992180     0.0000000 -963.0467955 -1.5729957   12878.7705078
 2.5500     0.0000000 0.0000000 0.1585527     3.4300854 0.2283671 0.5772027     0.0000000 -1006.1086185 -1.6364474   13389.6591797
 2.6000     0.0000000 0.0000000 0.1339854     3.3092198 0.2294811 0.5564227     0.0000000 -1048.8795639 -1.6818789   13909.7275391
 2.6500     0.0000000 0.0000000 0.0877013     3.1948512 0.2305785 0.5367751     0.0000000 -1091.8035657 -1.7159137   14439.2441406
 2.7000     0.0000000 0.0000000 0.0377072     3.0864785 0.2316605 0.5181718     0.0000000 -1135.3510297 -1.7453363   14978.3769531
 2.7500     0.0000000 0.0000000 -0.0009349     2.9836781 0.2327274 0.5005385     0.0000000 -1179.7990393 -1.7740623   15527.1513672
 2.8000     0.0000000 0.0000000 -0.0219046     2.8860757 0.2337797 0.4838092     0.0000000 -1225.2013427 -1.8028139   16085.5224609
 2.8500     0.0000000 0.0000000 -0.0266590     2.7933309 0.2348178 0.4679240     0.0000000 -1271.4741189 -1.8304157   16653.4218750
 2.9000     0.0000000 0.0000000 -0.0204974     2.7051282 0.2358421 0.4528277     0.0000000 -1318.5106259 -1.8554056   17230.7988281
 2.9500     0.0000000 0.0000000 -0.0089340     2.6211677 0.2368529 0.4384674     0.0000000 -1366.2599588 -1.8769999   17817.6660156
 3.0000     0.0000000 0.0000000 0.0041569     2.5411770 0.2378508 0.4247957     0.0000000 -1414.7376697 -1.8952391   18414.0175781
 3.0500     0.0000000 0.0000000 0.0167178     2.4649026 0.2388360 0.4117679     0.0000000 -1464.0030652 -1.9111344   19019.8710938
 3.1000     0.0000000 0.0000000 0.0278469     2.3921137 0.2398091 0.3993438     0.0000000 -1514.1181344 -1.9254686   19635.2246094
 3.1500     0.0000000 0.0000000 0.0370822     2.3225994 0.2407704 0.3874864     0.0000000 -1565.1230762 -1.9387303   20260.0546875
 3.2000     0.0000000 0.0000000 0.0440279     2.2561624 0.2417201 0.3761612     0.0000000 -1617.0370421 -1.9510953   20894.3632813
 3.2500     0.0000000 0.0000000 0.0483447     2.1926231 0.2426586 0.3653369     0.0000000 -1669.8648909 -1.9625785   21538.1191406
 3.3000     0.0000000 0.0000000 0.0499083     2.1318111 0.2435862 0.3549836     0.0000000 -1723.6158205 -1.9732097   22191.3339844
 3.3500     0.0000000 0.0000000 0.0489230     2.0735726 0.2445032 0.3450747     0.0000000 -1778.3018170 -1.9830941   22853.9707031
 3.4000     0.0000000 0.0000000 0.0458797     2.0177631 0.2454097 0.3355847     0.0000000 -1833.9407168 -1.9923871   23526.0136719
 3.4500     0.0000000 0.0000000 0.0413938     1.9642477 0.2463062 0.3264903     0.0000000 -1890.5486811 -2.0012214   24207.4433594
 3.5000     0.0000000 0.0000000 0.0360608     1.9160091 0.2471384 0.3182974     0.0000000 -1944.6027442 -2.0091713   24855.3457031
 3.5500     0.0000000 0.0000000 0.0311402     1.9030015 0.2473668 0.3160889     0.0000000 -1959.2332866 -2.0029721   25035.8535156
 3.6000     0.0000000 0.0000000 0.0238121     1.8901292 0.2475947 0.3139037     0.0000000 -1973.8797881 -1.9950242   25217.0058594
 3.6500     0.0000000 0.0000000 0.0121839     1.8773856 0.2478220 0.3117408     0.0000000 -1988.3774292 -1.9843938   25398.8710938
 3.7000     0.0000000 0.0000000 -0.0050307     1.8647690 0.2480488 0.3095996     0.0000000 -2001.3724859 -1.9724550   25581.4492188
 3.7500     0.0000000 0.0000000 -0.0262713     1.8522812 0.2482750 0.3074807     0.0000000 -2014.0841568 -1.9612081   25764.6894531
 3.8000     0.0000000 0.0000000 -0.0465928     1.8399220 0.2485005 0.3053839     0.0000000 -2026.9647408 -1.9518525   25948.5703125
 3.8500     0.0000000 0.0000000 -0.0629573     1.8276908 0.2487255 0.3033091     0.0000000 -2040.0162697 -1.9444047   26133.0683594
 3.9000     0.0000000 0.0000000 -0.0747147     1.8155884 0.2489497 0.3012564     0.0000000 -2053.1871323 -1.9381724   26318.1503906
 3.9500     0.0000000 0.0000000 -0.0826474     1.8036137 0.2491733 0.2992257     0.0000000 -2066.4236171 -1.9324369   26503.7988281
 4.0000     0.0000000 0.0000000 -0.0878551     1.7934946 0.2493635 0.2975100     0.0000000 -2077.5692659 -1.9248728   26662.6718750
