 2.0000000    1.8849562 0.6859339 19.9224663   	1.0810182 115.8329163 11.4474230    0.1426331 0.0316692 0.0520252
 2.0500000    1.8849562 0.6859348 20.4952488   	0.7697285 118.7354813 11.4699888    0.1451111 0.0397032 0.0552971
 2.1000000    1.8849562 0.6859357 21.0696964   	0.4404322 121.6325378 11.5166807    0.1478749 0.0489713 0.0576286
 2.1500000    1.8849562 0.6859367 21.6470470   	0.0988075 124.5239792 11.5887957    0.1508172 0.0591345 0.0589722
 2.2000000    1.8849562 0.6859377 22.2285900   	-0.2492467 127.4099274 11.6872253    0.1538649 0.0696948 0.0593527
 2.2500000    1.8849562 0.6859387 22.8156605   	-0.5979495 130.2906342 11.8125610    0.1569648 0.0800849 0.0588484
 2.3000000    1.8849562 0.6859397 23.4096088   	-0.9418977 133.1663666 11.9651146    0.1600723 0.0897460 0.0575777
 2.3500000    1.8849562 0.6859408 24.0116138   	-1.2731644 136.0370483 12.1329288    0.1638532 0.0980911 0.0558747
 2.4000000    1.8849562 0.6859419 24.6225548   	-1.5934350 138.9001770 12.3343124    0.1701149 0.1048750 0.0543068
 2.4500000    1.8849562 0.6859430 25.2450123   	-1.9073966 141.7519379 12.6026068    0.1775204 0.1114307 0.0526968
 2.5000000    1.8849561 0.6859441 25.8824120   	-2.2119343 144.5913391 12.9361639    0.1838686 0.1189946 0.0507636
 2.5500000    1.8849561 0.6859453 26.5376148   	-2.5014362 147.4207916 13.3155088    0.1880399 0.1273534 0.0485571
 2.6000000    1.8849561 0.6859464 27.2124195   	-2.7729356 150.2439880 13.7199059    0.1901603 0.1351585 0.0463975
 2.6500000    1.8849561 0.6859476 27.9077473   	-3.0277357 153.0638580 14.1361761    0.1910040 0.1410027 0.0446233
 2.7000000    1.8849560 0.6859488 28.6240578   	-3.2700107 155.8817596 14.5598679    0.1913594 0.1442481 0.0434163
 2.7500000    1.8849560 0.6859501 29.3617344   	-3.5046210 158.6977997 14.9920053    0.1916855 0.1451519 0.0427821
 2.8000000    1.8849560 0.6859513 30.1212540   	-3.7356818 161.5114899 15.4349737    0.1920818 0.1445115 0.0426239
 2.8500000    1.8849559 0.6859526 30.9031868   	-3.9661627 164.3224030 15.8897905    0.1924390 0.1432179 0.0428211
 2.9000000    1.8849559 0.6859539 31.7081127   	-4.1981049 167.1304626 16.3554344    0.1926152 0.1419622 0.0432740
 2.9500000    1.8849558 0.6859552 32.5365219   	-4.4329939 169.9359283 16.8295746    0.1925418 0.1411477 0.0439127
 3.0000000    1.8849558 0.6859566 33.3887863   	-4.6720080 172.7391205 17.3097496    0.1922393 0.1409392 0.0446876
 3.0500000    1.8849557 0.6859579 34.2651558   	-4.9160905 175.5403290 17.7941303    0.1917778 0.1413582 0.0455586
 3.1000000    1.8849557 0.6859593 35.1658211   	-5.1659265 178.3397064 18.2817135    0.1912260 0.1423573 0.0464895
 3.1500000    1.8849556 0.6859607 36.0909271   	-5.4219174 181.1372681 18.7719746    0.1906230 0.1438573 0.0474498
 3.2000000    1.8849556 0.6859622 37.0405998   	-5.6842084 183.9331055 19.2644958    0.1899779 0.1457570 0.0484171
